num,episode3,epsilon3,sum3
0,580,1,355
100,706,0.95121753,433
200,999,0.90481479,656
300,535,0.86067569,336
400,446,0.818689804,300
500,729,0.778752093,508
600,303,0.740762643,192
700,999,0.704626412,736
800,999,0.670252995,750
900,999,0.637556399,769
1000,869,0.606454823,663
1100,744,0.576870459,558
1200,999,0.548729293,792
1300,248,0.521960923,159
1400,999,0.49649838,848
1500,999,0.472277963,815
1600,999,0.449239077,816
1700,146,0.427324086,64
1800,999,0.406478161,859
1900,999,0.386649153,810
2000,709,0.367787452,558
2100,999,0.349845872,813
2200,918,0.332779526,755
2300,999,0.316545719,843
2400,999,0.301103837,853
2500,515,0.286415248,404
2600,587,0.272443205,477
2700,999,0.259152753,906
2800,777,0.246510641,675
2900,999,0.234485243,910
3000,826,0.223046474,721
3100,820,0.212165716,684
3200,832,0.201815749,711
3300,447,0.191970678,350
3400,343,0.182605874,252
3500,999,0.173697909,923
3600,999,0.165224496,951
3700,999,0.157164437,910
3800,999,0.149497567,965
3900,999,0.142204707,911
4000,936,0.13526761,841
4100,999,0.128668922,963
4200,999,0.122392134,965
4300,999,0.116421543,944
4400,999,0.110742213,967
4500,999,0.105339934,956
4600,999,0.100201192,969
4700,999,0.095313131,988
4800,999,0.090663521,945
4900,999,0.08624073,993
5000,999,0.082033694,980
5100,999,0.078031888,977
5200,999,0.0742253,936
5300,999,0.070604407,978
5400,999,0.067160149,975
5500,999,0.063883911,979
5600,999,0.060767496,982
5700,999,0.057803108,998
5800,999,0.054983329,1009
5900,999,0.052301107,968
6000,524,0.04974973,473
6100,152,0.047322815,57
6200,999,0.045014291,992
6300,999,0.042818383,994
6400,999,0.040729596,995
6500,999,0.038742706,982
6600,999,0.036852741,989
6700,999,0.035054973,971
6800,999,0.033344905,1004
6900,999,0.031718258,1017
7000,999,0.030170963,956
7100,999,0.03,1003
7200,999,0.03,1001
7300,515,0.03,426
7400,999,0.03,1001
7500,376,0.03,320
7600,999,0.03,988
7700,999,0.03,999
7800,999,0.03,998
7900,999,0.03,992
8000,999,0.03,988
8100,999,0.03,995
8200,999,0.03,1011
8300,999,0.03,1012
8400,999,0.03,1012
8500,999,0.03,995
8600,999,0.03,1000
8700,999,0.03,1002
8800,999,0.03,974
8900,999,0.03,1011
9000,999,0.03,985
9100,678,0.03,624
9200,999,0.03,1003
9300,999,0.03,1001
9400,999,0.03,1003
9500,999,0.03,982
9600,999,0.03,995
9700,999,0.03,1006
9800,999,0.03,1011
9900,999,0.03,996
