num,episode7,epsilon7,sum7
0,716,1.5,447
100,506,1.426826295,316
200,491,1.357222185,305
300,787,1.291013535,520
400,999,1.228034706,642
500,335,1.16812814,192
600,454,1.111143964,268
700,536,1.056939617,323
800,452,1.005379493,277
900,539,0.956334598,331
1000,536,0.909682234,341
1100,790,0.865305688,525
1200,607,0.82309394,420
1300,253,0.782941384,164
1400,618,0.74474757,407
1500,373,0.708416944,242
1600,905,0.673858616,682
1700,809,0.640986128,595
1800,612,0.609717242,444
1900,999,0.579973729,812
2000,507,0.551681178,343
2100,999,0.524768808,768
2200,999,0.499169289,818
2300,521,0.474818579,387
2400,823,0.451655756,649
2500,623,0.429622872,462
2600,999,0.408664808,850
2700,536,0.388729129,413
2800,999,0.369765962,867
2900,475,0.351727865,371
3000,999,0.334569711,850
3100,999,0.318248574,837
3200,999,0.302723623,896
3300,369,0.287956017,273
3400,999,0.273908811,882
3500,999,0.260546863,882
3600,999,0.247836743,901
3700,505,0.235746655,430
3800,999,0.224246351,918
3900,316,0.21330706,233
4000,795,0.202901415,711
4100,549,0.193003383,462
4200,999,0.183588201,919
4300,592,0.174632315,505
4400,617,0.16611332,520
4500,581,0.158009902,497
4600,999,0.150301788,929
4700,999,0.142969696,921
4800,999,0.135995281,944
4900,999,0.129361095,907
5000,395,0.123050542,336
5100,999,0.117047832,946
5200,944,0.11133795,821
5300,850,0.10590661,777
5400,999,0.100740224,916
5500,344,0.095825867,287
5600,999,0.091151244,920
5700,999,0.086704662,972
5800,999,0.082474994,945
5900,999,0.07845166,963
6000,999,0.074624594,934
6100,999,0.070984222,962
6200,999,0.067521437,955
6300,904,0.064227574,819
6400,999,0.061094395,975
6500,999,0.058114059,969
6600,332,0.055279112,260
6700,502,0.05258246,415
6800,999,0.050017358,924
6900,999,0.047577388,947
7000,999,0.045256445,931
7100,999,0.043048724,982
7200,999,0.040948701,957
7300,999,0.038951122,938
7400,138,0.03705099,68
7500,999,0.035243551,953
7600,999,0.033524284,987
7700,999,0.031888887,981
7800,526,0.030333268,473
7900,999,0.03,942
8000,999,0.03,985
8100,999,0.03,964
8200,999,0.03,991
8300,999,0.03,975
8400,999,0.03,989
8500,999,0.03,965
8600,999,0.03,1003
8700,940,0.03,894
8800,732,0.03,685
8900,999,0.03,977
9000,468,0.03,396
9100,999,0.03,1002
9200,999,0.03,970
9300,999,0.03,995
9400,157,0.03,102
9500,250,0.03,173
9600,999,0.03,1004
9700,553,0.03,462
9800,999,0.03,1008
9900,348,0.03,288
