num,episode3,epsilon3,sum3
0,643,1.5,403
100,682,1.426826295,431
200,462,1.357222185,277
300,813,1.291013535,487
400,999,1.228034706,635
500,268,1.16812814,154
600,417,1.111143964,243
700,496,1.056939617,316
800,522,1.005379493,330
900,694,0.956334598,432
1000,976,0.909682234,669
1100,820,0.865305688,522
1200,920,0.82309394,606
1300,520,0.782941384,350
1400,717,0.74474757,508
1500,465,0.708416944,306
1600,857,0.673858616,620
1700,421,0.640986128,287
1800,382,0.609717242,268
1900,522,0.579973729,382
2000,455,0.551681178,349
2100,999,0.524768808,816
2200,999,0.499169289,805
2300,944,0.474818579,760
2400,753,0.451655756,571
2500,999,0.429622872,832
2600,821,0.408664808,672
2700,999,0.388729129,826
2800,752,0.369765962,625
2900,999,0.351727865,892
3000,999,0.334569711,848
3100,999,0.318248574,896
3200,999,0.302723623,863
3300,618,0.287956017,497
3400,999,0.273908811,889
3500,999,0.260546863,915
3600,975,0.247836743,837
3700,999,0.235746655,896
3800,554,0.224246351,446
3900,999,0.21330706,890
4000,889,0.202901415,777
4100,325,0.193003383,266
4200,492,0.183588201,414
4300,999,0.174632315,939
4400,775,0.16611332,690
4500,955,0.158009902,846
4600,328,0.150301788,222
4700,999,0.142969696,932
4800,645,0.135995281,559
4900,999,0.129361095,932
5000,999,0.123050542,921
5100,467,0.117047832,388
5200,649,0.11133795,555
5300,790,0.10590661,703
5400,999,0.100740224,957
5500,999,0.095825867,974
5600,445,0.091151244,360
5700,999,0.086704662,955
5800,999,0.082474994,924
5900,999,0.07845166,951
6000,999,0.074624594,971
6100,628,0.070984222,554
6200,999,0.067521437,957
6300,999,0.064227574,964
6400,851,0.061094395,773
6500,999,0.058114059,938
6600,567,0.055279112,477
6700,999,0.05258246,968
6800,605,0.050017358,536
6900,558,0.047577388,488
7000,999,0.045256445,967
7100,999,0.043048724,982
7200,999,0.040948701,983
7300,999,0.038951122,964
7400,999,0.03705099,982
7500,999,0.035243551,1006
7600,999,0.033524284,955
7700,999,0.031888887,966
7800,999,0.030333268,992
7900,999,0.03,1003
8000,999,0.03,960
8100,999,0.03,994
8200,999,0.03,1007
8300,999,0.03,941
8400,999,0.03,944
8500,783,0.03,678
8600,999,0.03,949
8700,999,0.03,985
8800,442,0.03,367
8900,999,0.03,982
9000,999,0.03,1000
9100,999,0.03,1003
9200,999,0.03,992
9300,999,0.03,1012
9400,999,0.03,977
9500,999,0.03,993
9600,999,0.03,982
9700,999,0.03,974
9800,483,0.03,388
9900,999,0.03,989
