C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-13 16:31:28.179881: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-13 16:31:28.180150: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-13 16:31:33.089408: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-13 16:31:33.094625: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-13 16:31:33.094956: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-13 16:31:33.105758: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-13 16:31:33.106232: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-13 16:31:33.107582: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-13 16:31:33.108463: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 33, epsilon: 0.0, 보상 합:34
에피소드 100 : 33, epsilon: 0.0, 보상 합:34
에피소드 200 : 33, epsilon: 0.0, 보상 합:34
에피소드 300 : 33, epsilon: 0.0, 보상 합:34
에피소드 400 : 33, epsilon: 0.0, 보상 합:34
에피소드 500 : 33, epsilon: 0.0, 보상 합:34
에피소드 600 : 33, epsilon: 0.0, 보상 합:34
에피소드 700 : 33, epsilon: 0.0, 보상 합:34
에피소드 800 : 52, epsilon: 0.0, 보상 합:53
에피소드 900 : 33, epsilon: 0.0, 보상 합:34
에피소드 1000 : 63, epsilon: 0.0, 보상 합:64
에피소드 1100 : 44, epsilon: 0.0, 보상 합:45
에피소드 1200 : 33, epsilon: 0.0, 보상 합:34
에피소드 1300 : 62, epsilon: 0.0, 보상 합:63
에피소드 1400 : 75, epsilon: 0.0, 보상 합:76
에피소드 1500 : 76, epsilon: 0.0, 보상 합:77
에피소드 1600 : 44, epsilon: 0.0, 보상 합:45
에피소드 1700 : 62, epsilon: 0.0, 보상 합:63
에피소드 1800 : 75, epsilon: 0.0, 보상 합:76
에피소드 1900 : 52, epsilon: 0.0, 보상 합:53
에피소드 2000 : 60, epsilon: 0.0, 보상 합:61
에피소드 2100 : 87, epsilon: 0.0, 보상 합:88
에피소드 2200 : 55, epsilon: 0.0, 보상 합:56
에피소드 2300 : 108, epsilon: 0.0, 보상 합:109
에피소드 2400 : 104, epsilon: 0.0, 보상 합:105
에피소드 2500 : 62, epsilon: 0.0, 보상 합:63
에피소드 2600 : 49, epsilon: 0.0, 보상 합:50
에피소드 2700 : 51, epsilon: 0.0, 보상 합:52
에피소드 2800 : 66, epsilon: 0.0, 보상 합:67
에피소드 2900 : 57, epsilon: 0.0, 보상 합:58
에피소드 3000 : 44, epsilon: 0.0, 보상 합:45
에피소드 3100 : 64, epsilon: 0.0, 보상 합:65
에피소드 3200 : 53, epsilon: 0.0, 보상 합:54
에피소드 3300 : 61, epsilon: 0.0, 보상 합:62
에피소드 3400 : 68, epsilon: 0.0, 보상 합:69
에피소드 3500 : 62, epsilon: 0.0, 보상 합:63
에피소드 3600 : 63, epsilon: 0.0, 보상 합:64
에피소드 3700 : 61, epsilon: 0.0, 보상 합:62
에피소드 3800 : 64, epsilon: 0.0, 보상 합:65
에피소드 3900 : 60, epsilon: 0.0, 보상 합:61
에피소드 4000 : 61, epsilon: 0.0, 보상 합:62
에피소드 4100 : 64, epsilon: 0.0, 보상 합:65
에피소드 4200 : 58, epsilon: 0.0, 보상 합:59
에피소드 4300 : 55, epsilon: 0.0, 보상 합:56
에피소드 4400 : 88, epsilon: 0.0, 보상 합:89
에피소드 4500 : 130, epsilon: 0.0, 보상 합:131
에피소드 4600 : 58, epsilon: 0.0, 보상 합:59
에피소드 4700 : 57, epsilon: 0.0, 보상 합:58
에피소드 4800 : 96, epsilon: 0.0, 보상 합:97
에피소드 4900 : 66, epsilon: 0.0, 보상 합:67
에피소드 5000 : 149, epsilon: 0.0, 보상 합:150
에피소드 5100 : 63, epsilon: 0.0, 보상 합:64
에피소드 5200 : 61, epsilon: 0.0, 보상 합:62
에피소드 5300 : 59, epsilon: 0.0, 보상 합:60
에피소드 5400 : 101, epsilon: 0.0, 보상 합:102
에피소드 5500 : 64, epsilon: 0.0, 보상 합:65
에피소드 5600 : 59, epsilon: 0.0, 보상 합:60
에피소드 5700 : 68, epsilon: 0.0, 보상 합:69
에피소드 5800 : 60, epsilon: 0.0, 보상 합:61
에피소드 5900 : 57, epsilon: 0.0, 보상 합:58
에피소드 6000 : 100, epsilon: 0.0, 보상 합:101
에피소드 6100 : 57, epsilon: 0.0, 보상 합:58
에피소드 6200 : 112, epsilon: 0.0, 보상 합:113
에피소드 6300 : 70, epsilon: 0.0, 보상 합:71
에피소드 6400 : 60, epsilon: 0.0, 보상 합:61
에피소드 6500 : 64, epsilon: 0.0, 보상 합:65
에피소드 6600 : 204, epsilon: 0.0, 보상 합:205
에피소드 6700 : 56, epsilon: 0.0, 보상 합:57
에피소드 6800 : 57, epsilon: 0.0, 보상 합:58
에피소드 6900 : 71, epsilon: 0.0, 보상 합:72
에피소드 7000 : 64, epsilon: 0.0, 보상 합:65
에피소드 7100 : 65, epsilon: 0.0, 보상 합:66
에피소드 7200 : 70, epsilon: 0.0, 보상 합:71
에피소드 7300 : 64, epsilon: 0.0, 보상 합:65
에피소드 7400 : 71, epsilon: 0.0, 보상 합:72
에피소드 7500 : 153, epsilon: 0.0, 보상 합:154
에피소드 7600 : 67, epsilon: 0.0, 보상 합:68
에피소드 7700 : 63, epsilon: 0.0, 보상 합:64
에피소드 7800 : 56, epsilon: 0.0, 보상 합:57
에피소드 7900 : 57, epsilon: 0.0, 보상 합:58
에피소드 8000 : 68, epsilon: 0.0, 보상 합:69
에피소드 8100 : 57, epsilon: 0.0, 보상 합:58
에피소드 8200 : 61, epsilon: 0.0, 보상 합:62
에피소드 8300 : 59, epsilon: 0.0, 보상 합:60
에피소드 8400 : 65, epsilon: 0.0, 보상 합:66
에피소드 8500 : 59, epsilon: 0.0, 보상 합:60
에피소드 8600 : 66, epsilon: 0.0, 보상 합:67
에피소드 8700 : 59, epsilon: 0.0, 보상 합:60
에피소드 8800 : 69, epsilon: 0.0, 보상 합:70
에피소드 8900 : 64, epsilon: 0.0, 보상 합:65
에피소드 9000 : 57, epsilon: 0.0, 보상 합:58
에피소드 9100 : 59, epsilon: 0.0, 보상 합:60
에피소드 9200 : 95, epsilon: 0.0, 보상 합:96
에피소드 9300 : 58, epsilon: 0.0, 보상 합:59
에피소드 9400 : 61, epsilon: 0.0, 보상 합:62
에피소드 9500 : 58, epsilon: 0.0, 보상 합:59
에피소드 9600 : 57, epsilon: 0.0, 보상 합:58
에피소드 9700 : 63, epsilon: 0.0, 보상 합:64
에피소드 9800 : 60, epsilon: 0.0, 보상 합:61
에피소드 9900 : 92, epsilon: 0.0, 보상 합:93
에피소드 10000 : 58, epsilon: 0.0, 보상 합:59
에피소드 10100 : 66, epsilon: 0.0, 보상 합:67
에피소드 10200 : 59, epsilon: 0.0, 보상 합:60
에피소드 10300 : 57, epsilon: 0.0, 보상 합:58
에피소드 10400 : 61, epsilon: 0.0, 보상 합:62
에피소드 10500 : 67, epsilon: 0.0, 보상 합:68
에피소드 10600 : 67, epsilon: 0.0, 보상 합:68
에피소드 10700 : 64, epsilon: 0.0, 보상 합:65
에피소드 10800 : 58, epsilon: 0.0, 보상 합:59
에피소드 10900 : 64, epsilon: 0.0, 보상 합:65
에피소드 11000 : 64, epsilon: 0.0, 보상 합:65
에피소드 11100 : 64, epsilon: 0.0, 보상 합:65
에피소드 11200 : 88, epsilon: 0.0, 보상 합:89
에피소드 11300 : 70, epsilon: 0.0, 보상 합:71
에피소드 11400 : 59, epsilon: 0.0, 보상 합:60
에피소드 11500 : 65, epsilon: 0.0, 보상 합:66
에피소드 11600 : 119, epsilon: 0.0, 보상 합:120
에피소드 11700 : 65, epsilon: 0.0, 보상 합:66
에피소드 11800 : 126, epsilon: 0.0, 보상 합:127
에피소드 11900 : 65, epsilon: 0.0, 보상 합:66
에피소드 12000 : 64, epsilon: 0.0, 보상 합:65
에피소드 12100 : 290, epsilon: 0.0, 보상 합:291
에피소드 12200 : 67, epsilon: 0.0, 보상 합:68
에피소드 12300 : 71, epsilon: 0.0, 보상 합:72
에피소드 12400 : 59, epsilon: 0.0, 보상 합:60
에피소드 12500 : 61, epsilon: 0.0, 보상 합:62
에피소드 12600 : 74, epsilon: 0.0, 보상 합:75
에피소드 12700 : 70, epsilon: 0.0, 보상 합:71
에피소드 12800 : 73, epsilon: 0.0, 보상 합:74
에피소드 12900 : 128, epsilon: 0.0, 보상 합:129
에피소드 13000 : 77, epsilon: 0.0, 보상 합:78
에피소드 13100 : 59, epsilon: 0.0, 보상 합:60
에피소드 13200 : 72, epsilon: 0.0, 보상 합:73
에피소드 13300 : 113, epsilon: 0.0, 보상 합:114
에피소드 13400 : 87, epsilon: 0.0, 보상 합:88
에피소드 13500 : 70, epsilon: 0.0, 보상 합:71
에피소드 13600 : 68, epsilon: 0.0, 보상 합:69
에피소드 13700 : 57, epsilon: 0.0, 보상 합:58
에피소드 13800 : 71, epsilon: 0.0, 보상 합:72
에피소드 13900 : 130, epsilon: 0.0, 보상 합:131
에피소드 14000 : 59, epsilon: 0.0, 보상 합:60
