C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-13 11:51:04.483278: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-13 11:51:04.484256: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-13 11:51:15.543885: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-13 11:51:15.549245: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-13 11:51:15.550541: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-13 11:51:15.573772: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-13 11:51:15.575882: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-13 11:51:15.583322: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-13 11:51:15.588028: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 44, epsilon: 0.0, 보상 합:45
에피소드 100 : 75, epsilon: 0.0, 보상 합:76
에피소드 200 : 44, epsilon: 0.0, 보상 합:45
에피소드 300 : 44, epsilon: 0.0, 보상 합:45
에피소드 400 : 76, epsilon: 0.0, 보상 합:77
에피소드 500 : 44, epsilon: 0.0, 보상 합:45
에피소드 600 : 44, epsilon: 0.0, 보상 합:45
에피소드 700 : 105, epsilon: 0.0, 보상 합:106
에피소드 800 : 44, epsilon: 0.0, 보상 합:45
에피소드 900 : 44, epsilon: 0.0, 보상 합:45
에피소드 1000 : 44, epsilon: 0.0, 보상 합:45
에피소드 1100 : 74, epsilon: 0.0, 보상 합:75
에피소드 1200 : 72, epsilon: 0.0, 보상 합:73
에피소드 1300 : 75, epsilon: 0.0, 보상 합:76
에피소드 1400 : 44, epsilon: 0.0, 보상 합:45
에피소드 1500 : 73, epsilon: 0.0, 보상 합:74
에피소드 1600 : 71, epsilon: 0.0, 보상 합:72
에피소드 1700 : 103, epsilon: 0.0, 보상 합:104
에피소드 1800 : 76, epsilon: 0.0, 보상 합:77
에피소드 1900 : 44, epsilon: 0.0, 보상 합:45
에피소드 2000 : 44, epsilon: 0.0, 보상 합:45
에피소드 2100 : 44, epsilon: 0.0, 보상 합:45
에피소드 2200 : 76, epsilon: 0.0, 보상 합:77
에피소드 2300 : 44, epsilon: 0.0, 보상 합:45
에피소드 2400 : 44, epsilon: 0.0, 보상 합:45
에피소드 2500 : 44, epsilon: 0.0, 보상 합:45
