C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-16 22:24:55.859871: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-16 22:24:55.860129: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
스테이지를 무작위로 생성합니다.
2021-05-16 22:24:59.565795: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-16 22:24:59.569915: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-16 22:24:59.570163: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-16 22:24:59.577917: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-16 22:24:59.578367: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-16 22:24:59.579033: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-16 22:24:59.579921: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 41, epsilon: 1.0, 보상 합:42
에피소드 100 : 52, epsilon: 0.9950123548119847, 보상 합:53
에피소드 200 : 97, epsilon: 0.9900495862284902, 보상 합:98
에피소드 300 : 47, epsilon: 0.9851115701738412, 보상 합:48
에피소드 400 : 88, epsilon: 0.9801981831912049, 보상 합:89
에피소드 500 : 88, epsilon: 0.9753093024395098, 보상 합:89
에피소드 600 : 46, epsilon: 0.9704448056903707, 보상 합:47
에피소드 700 : 43, epsilon: 0.9656045713250346, 보상 합:44
에피소드 800 : 48, epsilon: 0.9607884783313398, 보상 합:49
에피소드 900 : 87, epsilon: 0.9559964063006904, 보상 합:88
에피소드 1000 : 46, epsilon: 0.9512282354250445, 보상 합:47
에피소드 1100 : 74, epsilon: 0.9464838464939228, 보상 합:75
에피소드 1200 : 47, epsilon: 0.9417631208914232, 보상 합:48
에피소드 1300 : 118, epsilon: 0.9370659405932589, 보상 합:119
에피소드 1400 : 43, epsilon: 0.9323921881638054, 보상 합:44
에피소드 1500 : 50, epsilon: 0.9277417467531668, 보상 합:51
에피소드 1600 : 73, epsilon: 0.9231145000942527, 보상 합:74
에피소드 1700 : 42, epsilon: 0.9185103324998704, 보상 합:43
에피소드 1800 : 122, epsilon: 0.9139291288598353, 보상 합:123
에피소드 1900 : 52, epsilon: 0.9093707746380905, 보상 합:53
에피소드 2000 : 126, epsilon: 0.9048351558698455, 보상 합:127
에피소드 2100 : 308, epsilon: 0.9003221591587243, 보상 합:309
에피소드 2200 : 121, epsilon: 0.8958316716739327, 보상 합:122
에피소드 2300 : 151, epsilon: 0.8913635811474366, 보상 합:152
에피소드 2400 : 46, epsilon: 0.8869177758711543, 보상 합:47
에피소드 2500 : 87, epsilon: 0.8824941446941652, 보상 합:88
에피소드 2600 : 45, epsilon: 0.8780925770199298, 보상 합:46
에피소드 2700 : 56, epsilon: 0.8737129628035243, 보상 합:57
에피소드 2800 : 258, epsilon: 0.8693551925488907, 보상 합:259
에피소드 2900 : 80, epsilon: 0.8650191573060978, 보상 합:81
에피소드 3000 : 87, epsilon: 0.8607047486686187, 보상 합:88
에피소드 3100 : 47, epsilon: 0.8564118587706196, 보상 합:48
에피소드 3200 : 43, epsilon: 0.8521403802842631, 보상 합:44
에피소드 3300 : 120, epsilon: 0.8478902064170248, 보상 합:121
에피소드 3400 : 158, epsilon: 0.843661230909024, 보상 합:159
에피소드 3500 : 49, epsilon: 0.8394533480303654, 보상 합:50
에피소드 3600 : 330, epsilon: 0.8352664525784984, 보상 합:331
에피소드 3700 : 138, epsilon: 0.8311004398755846, 보상 합:139
에피소드 3800 : 113, epsilon: 0.826955205765881, 보상 합:114
에피소드 3900 : 193, epsilon: 0.822830646613139, 보상 합:194
에피소드 4000 : 167, epsilon: 0.8187266592980071, 보상 합:168
에피소드 4100 : 153, epsilon: 0.8146431412154591, 보상 합:154
에피소드 4200 : 82, epsilon: 0.810579990272226, 보상 합:83
에피소드 4300 : 155, epsilon: 0.8065371048842433, 보상 합:156
에피소드 4400 : 54, epsilon: 0.8025143839741113, 보상 합:55
에피소드 4500 : 152, epsilon: 0.7985117269685691, 보상 합:153
에피소드 4600 : 88, epsilon: 0.7945290337959804, 보상 합:89
에피소드 4700 : 98, epsilon: 0.7905662048838291, 보상 합:99
에피소드 4800 : 77, epsilon: 0.786623141156233, 보상 합:78
에피소드 4900 : 46, epsilon: 0.7826997440314639, 보상 합:47
에피소드 5000 : 47, epsilon: 0.7787959154194843, 보상 합:48
에피소드 5100 : 86, epsilon: 0.7749115577194965, 보상 합:87
에피소드 5200 : 47, epsilon: 0.7710465738174995, 보상 합:48
에피소드 5300 : 85, epsilon: 0.767200867083863, 보상 합:86
에피소드 5400 : 43, epsilon: 0.763374341370911, 보상 합:44
에피소드 5500 : 79, epsilon: 0.7595669010105176, 보상 합:80
에피소드 5600 : 123, epsilon: 0.7557784508117166, 보상 합:124
에피소드 5700 : 45, epsilon: 0.7520088960583194, 보상 합:46
에피소드 5800 : 92, epsilon: 0.7482581425065495, 보상 합:93
에피소드 5900 : 51, epsilon: 0.7445260963826833, 보상 합:52
에피소드 6000 : 46, epsilon: 0.7408126643807084, 보상 합:47
에피소드 6100 : 79, epsilon: 0.7371177536599894, 보상 합:80
에피소드 6200 : 86, epsilon: 0.7334412718429463, 보상 합:87
에피소드 6300 : 42, epsilon: 0.7297831270127476, 보상 합:43
에피소드 6400 : 77, epsilon: 0.726143227711008, 보상 합:78
에피소드 6500 : 52, epsilon: 0.7225214829355054, 보상 합:53
에피소드 6600 : 90, epsilon: 0.7189178021379041, 보상 합:91
에피소드 6700 : 50, epsilon: 0.7153320952214923, 보상 합:51
에피소드 6800 : 48, epsilon: 0.7117642725389279, 보상 합:49
에피소드 6900 : 41, epsilon: 0.7082142448899977, 보상 합:42
에피소드 7000 : 50, epsilon: 0.7046819235193887, 보상 합:51
에피소드 7100 : 47, epsilon: 0.7011672201144661, 보상 합:48
에피소드 7200 : 64, epsilon: 0.6976700468030675, 보상 합:65
에피소드 7300 : 120, epsilon: 0.6941903161513077, 보상 합:121
에피소드 7400 : 44, epsilon: 0.6907279411613888, 보상 합:45
에피소드 7500 : 173, epsilon: 0.6872828352694271, 보상 합:174
에피소드 7600 : 79, epsilon: 0.6838549123432907, 보상 합:80
에피소드 7700 : 52, epsilon: 0.6804440866804413, 보상 합:53
에피소드 7800 : 82, epsilon: 0.677050273005796, 보상 합:83
에피소드 7900 : 74, epsilon: 0.6736733864695941, 보상 합:75
에피소드 8000 : 115, epsilon: 0.6703133426452752, 보상 합:116
에피소드 8100 : 50, epsilon: 0.6669700575273669, 보상 합:51
에피소드 8200 : 86, epsilon: 0.6636434475293898, 보상 합:87
에피소드 8300 : 77, epsilon: 0.6603334294817619, 보상 합:78
에피소드 8400 : 109, epsilon: 0.6570399206297214, 보상 합:110
에피소드 8500 : 165, epsilon: 0.6537628386312585, 보상 합:166
에피소드 8600 : 50, epsilon: 0.6505021015550557, 보상 합:51
에피소드 8700 : 79, epsilon: 0.6472576278784408, 보상 합:80
에피소드 8800 : 39, epsilon: 0.6440293364853462, 보상 합:40
에피소드 8900 : 44, epsilon: 0.6408171466642842, 보상 합:45
에피소드 9000 : 196, epsilon: 0.6376209781063263, 보상 합:197
에피소드 9100 : 47, epsilon: 0.6344407509030966, 보상 합:48
에피소드 9200 : 46, epsilon: 0.6312763855447736, 보상 합:47
에피소드 9300 : 41, epsilon: 0.6281278029181032, 보상 합:42
에피소드 9400 : 88, epsilon: 0.62499492430442, 보상 합:89
에피소드 9500 : 178, epsilon: 0.621877671377679, 보상 합:179
에피소드 9600 : 124, epsilon: 0.618775966202498, 보상 합:125
에피소드 9700 : 82, epsilon: 0.6156897312322083, 보상 합:83
에피소드 9800 : 39, epsilon: 0.6126188893069178, 보상 합:40
에피소드 9900 : 88, epsilon: 0.6095633636515787, 보상 합:89
에피소드 10000 : 87, epsilon: 0.6065230778740716, 보상 합:88
에피소드 10100 : 119, epsilon: 0.6034979559632925, 보상 합:120
에피소드 10200 : 58, epsilon: 0.6004879222872556, 보상 합:59
에피소드 10300 : 90, epsilon: 0.5974929015911985, 보상 합:91
에피소드 10400 : 87, epsilon: 0.594512818995704, 보상 합:88
에피소드 10500 : 44, epsilon: 0.5915475999948258, 보상 합:45
에피소드 10600 : 79, epsilon: 0.58859717045423, 보상 합:80
에피소드 10700 : 46, epsilon: 0.5856614566093343, 보상 합:47
에피소드 10800 : 45, epsilon: 0.5827403850634706, 보상 합:46
에피소드 10900 : 48, epsilon: 0.5798338827860471, 보상 합:49
에피소드 11000 : 193, epsilon: 0.5769418771107209, 보상 합:194
에피소드 11100 : 51, epsilon: 0.5740642957335859, 보상 합:52
에피소드 11200 : 85, epsilon: 0.5712010667113592, 보상 합:86
에피소드 11300 : 143, epsilon: 0.5683521184595874, 보상 합:144
에피소드 11400 : 198, epsilon: 0.5655173797508543, 보상 합:199
에피소드 11500 : 161, epsilon: 0.5626967797130004, 보상 합:162
에피소드 11600 : 126, epsilon: 0.5598902478273522, 보상 합:127
에피소드 11700 : 122, epsilon: 0.5570977139269595, 보상 합:123
에피소드 11800 : 99, epsilon: 0.5543191081948373, 보상 합:100
에피소드 11900 : 59, epsilon: 0.551554361162224, 보상 합:60
에피소드 12000 : 46, epsilon: 0.5488034037068446, 보상 합:47
에피소드 12100 : 49, epsilon: 0.5460661670511799, 보상 합:50
에피소드 12200 : 46, epsilon: 0.5433425827607494, 보상 합:47
에피소드 12300 : 87, epsilon: 0.5406325827423988, 보상 합:88
에피소드 12400 : 120, epsilon: 0.5379360992426001, 보상 합:121
에피소드 12500 : 51, epsilon: 0.5352530648457532, 보상 합:52
에피소드 12600 : 100, epsilon: 0.532583412472505, 보상 합:101
에피소드 12700 : 44, epsilon: 0.5299270753780697, 보상 합:45
에피소드 12800 : 126, epsilon: 0.5272839871505609, 보상 합:127
에피소드 12900 : 89, epsilon: 0.5246540817093323, 보상 합:90
에피소드 13000 : 160, epsilon: 0.5220372933033217, 보상 합:161
에피소드 13100 : 53, epsilon: 0.5194335565094124, 보상 합:54
에피소드 13200 : 87, epsilon: 0.5168428062307945, 보상 합:88
에피소드 13300 : 74, epsilon: 0.5142649776953369, 보상 합:75
에피소드 13400 : 44, epsilon: 0.5117000064539697, 보상 합:45
에피소드 13500 : 68, epsilon: 0.509147828379072, 보상 합:69
에피소드 13600 : 79, epsilon: 0.5066083796628685, 보상 합:80
에피소드 13700 : 45, epsilon: 0.5040815968158346, 보상 합:46
에피소드 13800 : 132, epsilon: 0.5015674166651087, 보상 합:133
에피소드 13900 : 112, epsilon: 0.49906577635291366, 보상 합:113
에피소드 14000 : 50, epsilon: 0.4965766133349839, 보상 합:51
에피소드 14100 : 44, epsilon: 0.49409986537900286, 보상 합:45
에피소드 14200 : 120, epsilon: 0.4916354705630462, 보상 합:121
에피소드 14300 : 122, epsilon: 0.4891833672740348, 보상 합:123
에피소드 14400 : 115, epsilon: 0.4867434942061931, 보상 합:116
에피소드 14500 : 46, epsilon: 0.484315790359518, 보상 합:47
에피소드 14600 : 165, epsilon: 0.48190019503825127, 보상 합:166
