에피소드 0 : 51, epsilon: 1.0, 보상 합:52
2021-05-15 22:31:36.736867: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library cublas64_10.dll
에피소드 100 : 71, epsilon: 0.9950123548119847, 보상 합:72
에피소드 200 : 184, epsilon: 0.9900495862284902, 보상 합:185
에피소드 300 : 48, epsilon: 0.9851115701738412, 보상 합:49
에피소드 400 : 109, epsilon: 0.9801981831912049, 보상 합:110
에피소드 500 : 47, epsilon: 0.9753093024395098, 보상 합:48
에피소드 600 : 121, epsilon: 0.9704448056903707, 보상 합:122
에피소드 700 : 111, epsilon: 0.9656045713250346, 보상 합:112
에피소드 800 : 49, epsilon: 0.9607884783313398, 보상 합:50
에피소드 900 : 109, epsilon: 0.9559964063006904, 보상 합:110
에피소드 1000 : 92, epsilon: 0.9512282354250445, 보상 합:93
에피소드 1100 : 46, epsilon: 0.9464838464939228, 보상 합:47
에피소드 1200 : 118, epsilon: 0.9417631208914232, 보상 합:119
에피소드 1300 : 82, epsilon: 0.9370659405932589, 보상 합:83
에피소드 1400 : 221, epsilon: 0.9323921881638054, 보상 합:222
에피소드 1500 : 45, epsilon: 0.9277417467531668, 보상 합:46
에피소드 1600 : 126, epsilon: 0.9231145000942527, 보상 합:127
에피소드 1700 : 51, epsilon: 0.9185103324998704, 보상 합:52
에피소드 1800 : 54, epsilon: 0.9139291288598353, 보상 합:55
에피소드 1900 : 42, epsilon: 0.9093707746380905, 보상 합:43
에피소드 2000 : 111, epsilon: 0.9048351558698455, 보상 합:112
에피소드 2100 : 45, epsilon: 0.9003221591587243, 보상 합:46
에피소드 2200 : 165, epsilon: 0.8958316716739327, 보상 합:166
에피소드 2300 : 42, epsilon: 0.8913635811474366, 보상 합:43
에피소드 2400 : 106, epsilon: 0.8869177758711543, 보상 합:107
에피소드 2500 : 106, epsilon: 0.8824941446941652, 보상 합:107
에피소드 2600 : 155, epsilon: 0.8780925770199298, 보상 합:156
에피소드 2700 : 44, epsilon: 0.8737129628035243, 보상 합:45
에피소드 2800 : 118, epsilon: 0.8693551925488907, 보상 합:119
에피소드 2900 : 117, epsilon: 0.8650191573060978, 보상 합:118
에피소드 3000 : 291, epsilon: 0.8607047486686187, 보상 합:292
에피소드 3100 : 53, epsilon: 0.8564118587706196, 보상 합:54
에피소드 3200 : 72, epsilon: 0.8521403802842631, 보상 합:73
에피소드 3300 : 42, epsilon: 0.8478902064170248, 보상 합:43
에피소드 3400 : 46, epsilon: 0.843661230909024, 보상 합:47
에피소드 3500 : 83, epsilon: 0.8394533480303654, 보상 합:84
에피소드 3600 : 41, epsilon: 0.8352664525784984, 보상 합:42
에피소드 3700 : 247, epsilon: 0.8311004398755846, 보상 합:248
에피소드 3800 : 120, epsilon: 0.826955205765881, 보상 합:121
에피소드 3900 : 76, epsilon: 0.822830646613139, 보상 합:77
에피소드 4000 : 44, epsilon: 0.8187266592980071, 보상 합:45
