C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-14 15:36:31.184773: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-14 15:36:31.185048: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
스테이지를 무작위로 생성합니다.
2021-05-14 15:36:35.181675: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-14 15:36:35.185161: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-14 15:36:35.185413: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-14 15:36:35.193431: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-14 15:36:35.193875: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-14 15:36:35.194548: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-14 15:36:35.195464: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 51, epsilon: 1.0, 보상 합:52
에피소드 100 : 52, epsilon: 0.9990004948383437, 보상 합:53
에피소드 200 : 42, epsilon: 0.9980019886872552, 보상 합:43
에피소드 300 : 79, epsilon: 0.9970044805482192, 보상 합:80
에피소드 400 : 44, epsilon: 0.9960079694237177, 보상 합:45
에피소드 500 : 43, epsilon: 0.9950124543172282, 보상 합:44
에피소드 600 : 48, epsilon: 0.994017934233226, 보상 합:49
에피소드 700 : 151, epsilon: 0.9930244081771812, 보상 합:152
에피소드 800 : 79, epsilon: 0.9920318751555576, 보상 합:80
에피소드 900 : 47, epsilon: 0.9910403341758119, 보상 합:48
에피소드 1000 : 40, epsilon: 0.9900497842463938, 보상 합:41
에피소드 1100 : 42, epsilon: 0.9890602243767426, 보상 합:43
에피소드 1200 : 45, epsilon: 0.9880716535772887, 보상 합:46
에피소드 1300 : 173, epsilon: 0.9870840708594518, 보상 합:174
에피소드 1400 : 47, epsilon: 0.9860974752356391, 보상 합:48
에피소드 1500 : 47, epsilon: 0.9851118657192448, 보상 합:48
에피소드 1600 : 48, epsilon: 0.9841272413246489, 보상 합:49
에피소드 1700 : 51, epsilon: 0.9831436010672185, 보상 합:52
에피소드 1800 : 46, epsilon: 0.9821609439633026, 보상 합:47
에피소드 1900 : 83, epsilon: 0.9811792690302334, 보상 합:84
에피소드 2000 : 41, epsilon: 0.980198575286327, 보상 합:42
에피소드 2100 : 84, epsilon: 0.9792188617508799, 보상 합:85
에피소드 2200 : 43, epsilon: 0.9782401274441684, 보상 합:44
에피소드 2300 : 116, epsilon: 0.9772623713874483, 보상 합:117
에피소드 2400 : 45, epsilon: 0.9762855926029546, 보상 합:46
에피소드 2500 : 83, epsilon: 0.9753097901138975, 보상 합:84
에피소드 2600 : 112, epsilon: 0.9743349629444651, 보상 합:113
에피소드 2700 : 117, epsilon: 0.9733611101198196, 보상 합:118
에피소드 2800 : 50, epsilon: 0.9723882306660994, 보상 합:51
에피소드 2900 : 151, epsilon: 0.9714163236104145, 보상 합:152
에피소드 3000 : 45, epsilon: 0.970445387980849, 보상 합:46
에피소드 3100 : 75, epsilon: 0.9694754228064565, 보상 합:76
에피소드 3200 : 48, epsilon: 0.9685064271172623, 보상 합:49
에피소드 3300 : 53, epsilon: 0.9675383999442618, 보상 합:54
에피소드 3400 : 89, epsilon: 0.9665713403194166, 보상 합:90
에피소드 3500 : 109, epsilon: 0.9656052472756584, 보상 합:110
에피소드 3600 : 47, epsilon: 0.9646401198468838, 보상 합:48
에피소드 3700 : 39, epsilon: 0.9636759570679563, 보상 합:40
에피소드 3800 : 46, epsilon: 0.9627127579747022, 보상 합:47
에피소드 3900 : 45, epsilon: 0.961750521603914, 보상 합:46
에피소드 4000 : 91, epsilon: 0.9607892469933452, 보상 합:92
에피소드 4100 : 83, epsilon: 0.9598289331817111, 보상 합:84
에피소드 4200 : 45, epsilon: 0.9588695792086886, 보상 합:46
에피소드 4300 : 225, epsilon: 0.9579111841149139, 보상 합:226
에피소드 4400 : 49, epsilon: 0.9569537469419825, 보상 합:50
에피소드 4500 : 44, epsilon: 0.9559972667324481, 보상 합:45
에피소드 4600 : 47, epsilon: 0.9550417425298197, 보상 합:48
에피소드 4700 : 83, epsilon: 0.9540871733785639, 보상 합:84
에피소드 4800 : 210, epsilon: 0.9531335583241021, 보상 합:211
