C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-12 06:12:49.753498: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-12 06:12:49.753761: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-12 06:12:53.645403: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-12 06:12:53.649555: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-12 06:12:53.649881: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-12 06:12:53.658509: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-12 06:12:53.658993: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-12 06:12:53.659643: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-12 06:12:53.660582: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 604, epsilon: 1.5, 보상 합:371
에피소드 100 : 618, epsilon: 1.4268262953635011, 보상 합:381
에피소드 200 : 465, epsilon: 1.3572221847604897, 보상 합:270
에피소드 300 : 353, epsilon: 1.2910135345779783, 보상 합:207
에피소드 400 : 531, epsilon: 1.2280347058706922, 보상 합:326
에피소드 500 : 713, epsilon: 1.1681281399701908, 보상 합:436
에피소드 600 : 801, epsilon: 1.111143964309016, 보상 합:489
에피소드 700 : 639, epsilon: 1.056939617473699, 보상 합:391
에피소드 800 : 805, epsilon: 1.005379492548609, 보상 합:516
에피소드 900 : 946, epsilon: 0.9563345978583789, 보상 합:612
에피소드 1000 : 802, epsilon: 0.9096822342601434, 보상 합:503
에피소드 1100 : 400, epsilon: 0.8653056881782626, 보상 합:256
에피소드 1200 : 486, epsilon: 0.8230939396135708, 보상 합:316
에피소드 1300 : 620, epsilon: 0.7829413843966541, 보상 합:414
에피소드 1400 : 571, epsilon: 0.7447475699902992, 보상 합:379
에피소드 1500 : 557, epsilon: 0.7084169441801518, 보상 합:403
에피소드 1600 : 496, epsilon: 0.6738586160248651, 보상 합:334
에피소드 1700 : 999, epsilon: 0.6409861284676901, 보상 합:756
에피소드 1800 : 819, epsilon: 0.6097172420406319, 보상 합:633
에피소드 1900 : 595, epsilon: 0.5799737291200572, 보상 합:423
에피소드 2000 : 461, epsilon: 0.5516811782190176, 보상 합:337
에피소드 2100 : 999, epsilon: 0.5247688078266746, 보상 합:820
