num,episode17,epsilon17,sum17
0,950,1.5,631
100,801,1.426826295,500
200,347,1.357222185,198
300,999,1.291013535,639
400,569,1.228034706,354
500,791,1.16812814,508
600,645,1.111143964,416
700,578,1.056939617,357
800,306,1.005379493,162
900,621,0.956334598,370
1000,693,0.909682234,461
1100,482,0.865305688,320
1200,999,0.82309394,707
1300,789,0.782941384,555
1400,999,0.74474757,761
1500,950,0.708416944,701
1600,999,0.673858616,776
1700,689,0.640986128,522
1800,947,0.609717242,727
1900,913,0.579973729,730
2000,641,0.551681178,496
2100,999,0.524768808,765
2200,469,0.499169289,345
2300,999,0.474818579,812
2400,999,0.451655756,869
2500,999,0.429622872,859
2600,219,0.408664808,140
2700,999,0.388729129,785
2800,999,0.369765962,843
2900,813,0.351727865,680
3000,999,0.334569711,863
3100,999,0.318248574,820
3200,801,0.302723623,657
3300,999,0.287956017,876
3400,930,0.273908811,775
3500,205,0.260546863,126
3600,896,0.247836743,744
3700,999,0.235746655,878
3800,999,0.224246351,897
3900,465,0.21330706,356
4000,999,0.202901415,919
4100,974,0.193003383,832
4200,999,0.183588201,902
4300,651,0.174632315,564
4400,999,0.16611332,901
4500,999,0.158009902,891
4600,999,0.150301788,945
4700,999,0.142969696,900
4800,999,0.135995281,927
4900,999,0.129361095,907
5000,999,0.123050542,955
5100,408,0.117047832,331
5200,994,0.11133795,897
5300,462,0.10590661,381
5400,999,0.100740224,957
5500,375,0.095825867,318
5600,999,0.091151244,973
5700,999,0.086704662,931
5800,527,0.082474994,456
5900,999,0.07845166,930
6000,999,0.074624594,972
6100,999,0.070984222,985
6200,999,0.067521437,951
6300,357,0.064227574,296
6400,999,0.061094395,987
6500,999,0.058114059,925
6600,999,0.055279112,960
6700,391,0.05258246,324
6800,999,0.050017358,990
6900,999,0.047577388,958
7000,284,0.045256445,203
7100,999,0.043048724,970
7200,999,0.040948701,976
7300,408,0.038951122,332
7400,999,0.03705099,999
7500,999,0.035243551,977
7600,999,0.033524284,943
7700,999,0.031888887,961
7800,999,0.030333268,990
7900,999,0.03,965
8000,999,0.03,949
8100,999,0.03,971
8200,999,0.03,990
8300,999,0.03,965
8400,999,0.03,990
8500,999,0.03,969
8600,999,0.03,876
8700,999,0.03,972
8800,999,0.03,981
8900,999,0.03,987
9000,999,0.03,974
9100,999,0.03,968
9200,999,0.03,966
9300,999,0.03,955
9400,999,0.03,949
9500,999,0.03,1006
9600,999,0.03,1001
9700,999,0.03,993
9800,999,0.03,992
9900,999,0.03,979
