C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-13 07:58:53.421554: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-13 07:58:53.421874: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-13 07:58:58.940453: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-13 07:58:58.944371: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-13 07:58:58.944786: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-13 07:58:58.955725: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-13 07:58:58.956199: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-13 07:58:58.956867: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-13 07:58:58.957877: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 777, epsilon: 1.5, 보상 합:481
에피소드 100 : 904, epsilon: 1.4268262953635011, 보상 합:526
에피소드 200 : 563, epsilon: 1.3572221847604897, 보상 합:353
에피소드 300 : 888, epsilon: 1.2910135345779783, 보상 합:568
에피소드 400 : 293, epsilon: 1.2280347058706922, 보상 합:161
에피소드 500 : 979, epsilon: 1.1681281399701908, 보상 합:633
에피소드 600 : 976, epsilon: 1.111143964309016, 보상 합:624
에피소드 700 : 677, epsilon: 1.056939617473699, 보상 합:413
에피소드 800 : 451, epsilon: 1.005379492548609, 보상 합:261
에피소드 900 : 937, epsilon: 0.9563345978583789, 보상 합:590
에피소드 1000 : 267, epsilon: 0.9096822342601434, 보상 합:142
에피소드 1100 : 954, epsilon: 0.8653056881782626, 보상 합:631
에피소드 1200 : 999, epsilon: 0.8230939396135708, 보상 합:702
에피소드 1300 : 999, epsilon: 0.7829413843966541, 보상 합:691
에피소드 1400 : 822, epsilon: 0.7447475699902992, 보상 합:597
에피소드 1500 : 481, epsilon: 0.7084169441801518, 보상 합:332
에피소드 1600 : 636, epsilon: 0.6738586160248651, 보상 합:457
에피소드 1700 : 999, epsilon: 0.6409861284676901, 보상 합:775
에피소드 1800 : 999, epsilon: 0.6097172420406319, 보상 합:765
에피소드 1900 : 793, epsilon: 0.5799737291200572, 보상 합:600
에피소드 2000 : 999, epsilon: 0.5516811782190176, 보상 합:809
에피소드 2100 : 815, epsilon: 0.5247688078266746, 보상 합:633
에피소드 2200 : 696, epsilon: 0.4991692893291036, 보상 합:542
에피소드 2300 : 852, epsilon: 0.47481857856845094, 보상 합:683
에피소드 2400 : 999, epsilon: 0.45165575561905763, 보상 합:815
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:847
에피소드 2600 : 999, epsilon: 0.40866480760063095, 보상 합:805
에피소드 2700 : 999, epsilon: 0.38872912898283096, 보상 합:841
에피소드 2800 : 999, epsilon: 0.3697659620043022, 보상 합:845
에피소드 2900 : 678, epsilon: 0.351727865145413, 보상 합:559
에피소드 3000 : 999, epsilon: 0.33456971120102863, 보상 합:874
에피소드 3100 : 843, epsilon: 0.3182485743825335, 보상 합:707
에피소드 3200 : 702, epsilon: 0.3027236229272975, 보상 합:577
에피소드 3300 : 925, epsilon: 0.2879560169469154, 보상 합:792
에피소드 3400 : 999, epsilon: 0.27390881125866456, 보상 합:840
에피소드 3500 : 536, epsilon: 0.26054686295708057, 보상 합:451
에피소드 3600 : 999, epsilon: 0.24783674349442225, 보상 합:867
에피소드 3700 : 999, epsilon: 0.23574665505006714, 보상 합:804
에피소드 3800 : 515, epsilon: 0.22424635097961643, 보상 합:413
에피소드 3900 : 999, epsilon: 0.2133070601446863, 보상 합:912
에피소드 4000 : 999, epsilon: 0.20290141493408156, 보상 합:855
에피소드 4100 : 661, epsilon: 0.19300338279627216, 보상 합:548
에피소드 4200 : 270, epsilon: 0.18358820111188587, 보상 합:176
에피소드 4300 : 627, epsilon: 0.17463231524328113, 보상 합:526
에피소드 4400 : 366, epsilon: 0.16611331960621462, 보상 합:269
에피소드 4500 : 141, epsilon: 0.1580099016161789, 보상 합:87
에피소드 4600 : 561, epsilon: 0.15030178836917577, 보상 합:493
에피소드 4700 : 407, epsilon: 0.1429696959235333, 보상 합:323
에피소드 4800 : 999, epsilon: 0.135995281055881, 보상 합:932
에피소드 4900 : 387, epsilon: 0.1293610953705872, 보상 합:338
에피소드 5000 : 999, epsilon: 0.123050541647853, 보상 합:970
에피소드 5100 : 999, epsilon: 0.11704783232125221, 보상 합:943
에피소드 5200 : 909, epsilon: 0.1113379499808404, 보상 합:825
에피소드 5300 : 195, epsilon: 0.10590660980301952, 보상 합:130
에피소드 5400 : 871, epsilon: 0.10074022381316684, 보상 합:763
에피소드 5500 : 412, epsilon: 0.09582586689162056, 보상 합:334
에피소드 5600 : 242, epsilon: 0.09115124443797802, 보상 합:173
에피소드 5700 : 599, epsilon: 0.08670466161280879, 보상 합:523
에피소드 5800 : 999, epsilon: 0.08247499407983327, 보상 합:981
에피소드 5900 : 999, epsilon: 0.07845166017537016, 보상 합:902
에피소드 6000 : 788, epsilon: 0.0746245944354265, 보상 합:703
에피소드 6100 : 297, epsilon: 0.07098422241420221, 보상 합:230
에피소드 6200 : 460, epsilon: 0.06752143673100997, 보상 합:354
에피소드 6300 : 192, epsilon: 0.06422757428568535, 보상 합:122
에피소드 6400 : 823, epsilon: 0.061094394585485615, 보상 합:744
에피소드 6500 : 148, epsilon: 0.05811405912925629, 보상 합:91
에피소드 6600 : 207, epsilon: 0.05527911179728818, 보상 합:122
에피소드 6700 : 925, epsilon: 0.052582460197806366, 보상 합:832
에피소드 6800 : 248, epsilon: 0.05001735792342319, 보상 합:162
에피소드 6900 : 304, epsilon: 0.04757738767316547, 보상 합:236
에피소드 7000 : 519, epsilon: 0.04525644519785055, 보상 합:457
