C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-13 00:59:44.746900: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-13 00:59:44.747435: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-13 00:59:49.640620: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-13 00:59:49.644344: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-13 00:59:49.644587: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-13 00:59:49.653833: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-13 00:59:49.654391: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-13 00:59:49.655060: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-13 00:59:49.656363: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 739, epsilon: 1.5, 보상 합:463
에피소드 100 : 706, epsilon: 1.4268262953635011, 보상 합:455
에피소드 200 : 935, epsilon: 1.3572221847604897, 보상 합:584
에피소드 300 : 534, epsilon: 1.2910135345779783, 보상 합:307
에피소드 400 : 865, epsilon: 1.2280347058706922, 보상 합:533
에피소드 500 : 999, epsilon: 1.1681281399701908, 보상 합:630
에피소드 600 : 270, epsilon: 1.111143964309016, 보상 합:156
에피소드 700 : 376, epsilon: 1.056939617473699, 보상 합:213
에피소드 800 : 939, epsilon: 1.005379492548609, 보상 합:582
에피소드 900 : 578, epsilon: 0.9563345978583789, 보상 합:368
에피소드 1000 : 731, epsilon: 0.9096822342601434, 보상 합:481
에피소드 1100 : 744, epsilon: 0.8653056881782626, 보상 합:481
에피소드 1200 : 808, epsilon: 0.8230939396135708, 보상 합:587
에피소드 1300 : 361, epsilon: 0.7829413843966541, 보상 합:232
에피소드 1400 : 525, epsilon: 0.7447475699902992, 보상 합:337
에피소드 1500 : 919, epsilon: 0.7084169441801518, 보상 합:672
에피소드 1600 : 427, epsilon: 0.6738586160248651, 보상 합:282
에피소드 1700 : 999, epsilon: 0.6409861284676901, 보상 합:735
에피소드 1800 : 744, epsilon: 0.6097172420406319, 보상 합:554
에피소드 1900 : 949, epsilon: 0.5799737291200572, 보상 합:714
에피소드 2000 : 325, epsilon: 0.5516811782190176, 보상 합:220
에피소드 2100 : 434, epsilon: 0.5247688078266746, 보상 합:320
에피소드 2200 : 906, epsilon: 0.4991692893291036, 보상 합:647
에피소드 2300 : 452, epsilon: 0.47481857856845094, 보상 합:319
에피소드 2400 : 586, epsilon: 0.45165575561905763, 보상 합:438
에피소드 2500 : 760, epsilon: 0.4296228723796952, 보상 합:603
에피소드 2600 : 926, epsilon: 0.40866480760063095, 보상 합:782
에피소드 2700 : 866, epsilon: 0.38872912898283096, 보상 합:693
에피소드 2800 : 436, epsilon: 0.3697659620043022, 보상 합:315
에피소드 2900 : 999, epsilon: 0.351727865145413, 보상 합:839
에피소드 3000 : 552, epsilon: 0.33456971120102863, 보상 합:446
에피소드 3100 : 428, epsilon: 0.3182485743825335, 보상 합:317
에피소드 3200 : 571, epsilon: 0.3027236229272975, 보상 합:453
에피소드 3300 : 199, epsilon: 0.2879560169469154, 보상 합:119
에피소드 3400 : 999, epsilon: 0.27390881125866456, 보상 합:881
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:886
에피소드 3600 : 868, epsilon: 0.24783674349442225, 보상 합:765
에피소드 3700 : 503, epsilon: 0.23574665505006714, 보상 합:374
에피소드 3800 : 999, epsilon: 0.22424635097961643, 보상 합:873
에피소드 3900 : 999, epsilon: 0.2133070601446863, 보상 합:899
에피소드 4000 : 999, epsilon: 0.20290141493408156, 보상 합:920
에피소드 4100 : 999, epsilon: 0.19300338279627216, 보상 합:946
에피소드 4200 : 91, epsilon: 0.18358820111188587, 보상 합:32
에피소드 4300 : 414, epsilon: 0.17463231524328113, 보상 합:307
에피소드 4400 : 999, epsilon: 0.16611331960621462, 보상 합:882
에피소드 4500 : 999, epsilon: 0.1580099016161789, 보상 합:901
